"In ""The Nameless City,"" the frescoes in the subterranean corridor depict the city's inhabitants as what kind of creatures?";Giant spiders;Reptilian monsters;Bat-winged entities;Multi-legged worms;Reptilian monsters
"In ""The Doom That Came to Sarnath,"" what was the name of the ancient city of green, bulging-eyed beings that existed before Sarnath?";Ib;Kadatheron;Ilarnek;Mnar;Ib
"In ""The Horror in the Museum,"" what is the name of the ""infinite and invincible"" god that George Rogers claims to serve as high-priest?";Tsathoggua;Cthulhu;Rhan-Tegoth;Chaugnar Faugn;Rhan-Tegoth
"In ""The Terrible Old Man,"" what peculiar objects does the old man talk to in his house?";Painted stones;Bottles with lead pendulums;Ghostly sailors;Gold-filled chests;Bottles with lead pendulums
"In ""Within the Walls of Eryx,"" on which planet is the protagonist trapped inside an invisible, roofless building?";Mars;Venus;Yuggoth;Neptune;Venus
"In ""Winged Death,"" what distinct feature did Dr. Slauenwite give his hybrid flies to disguise them before sending them to Moore?";Blue wings;Red eyes;Striped thoraxes;Long stingers;Blue wings
"In ""Imprisoned with the Pharaohs,"" which real-life escape artist is the narrator and protagonist of the story?";Harry Houdini;Howard Thurston;Harry Kellar;David Devant;Harry Houdini
"In the story ""The Tree,"" on which mountain in Arcadia does the unnaturally large and repellent olive tree grow?";Mount Olympus;Mount Helicon;Mount Maenalus;Mount Lerion;Mount Maenalus
"In ""The Mound,"" what is the name of the blue-litten subterranean world discovered by Pánfilo de Zamacona?";N'kai;Yoth;K'n-yan;Tsath;K'n-yan
"In ""Through the Gates of the Silver Key,"" what is the name of the planet where Randolph Carter's consciousness is trapped in the body of the wizard Zkauba?";Stronti;Yaddith;Kythamil;Mthura;Yaddith
"In ""The White Ship,"" what is the name of the narrator who serves as the keeper of the North Point light?";Basil Elton;Randolph Carter;Ward Phillips;Thomas Olney;Basil Elton
"In ""The Moon-Bog,"" where is the reddish morass that Denys Barry attempts to drain located?";Arkham;Kilderry;Dunwich;Sarnath;Kilderry
"In ""Hypnos,"" the narrator becomes obsessed with a godlike marble head that bears what name on its base?";Thanatos;Morpheus;Hypnos;Somnus;Hypnos
"In ""The Challenge from Beyond,"" George Campbell finds his mind imprisoned in the body of a native of which planet?";Mars;Yekub;Yuggoth;Venus;Yekub
"In ""The Tree on the Hill,"" what is the name of the ancient book that mentions the ""Year of the Black Goat""?";The Chronicle of Nath;The Book of Eibon;The Pnakotic Manuscripts;The Necronomicon;The Chronicle of Nath
"In ""Polaris,"" the narrator attempts to protect the city of Olathoë from which invading force?";The Tcho-Tchos;The Elder Things;The Inutos;The Deep Ones;The Inutos
"In ""The Quest of Iranon,"" what is the name of the city of lutes and dancing where Iranon tarries for many years?";Teloth;Aira;Oonai;Athok;Oonai
"In ""The Street,"" what group of people uses the ancient houses to plot the ""Western Land's"" destruction?";Anarchists and revolutionaries;The Esoteric Order of Dagon;The Starry Wisdom Cult;The Whateley family;Anarchists and revolutionaries
"In ""The Other Gods,"" who is the old and learned man who scales the peak of Hatheg-Kla to see the gods?";Atal;Barzai the Wise;Sansu;Kuranes;Barzai the Wise
"In ""The Temple,"" what is the name of the lieutenant-commander who records the final days of the submarine U-29?";Captain Orne;Karl Heinrich, Graf von Altberg-Ehrenstein;Lieutenant Kienze;Captain Douglas;Karl Heinrich, Graf von Altberg-Ehrenstein
"In ""The Alchemist,"" how long did Charles Le Sorcier live to maintain his revenge and the curse upon the narrator's house?";100 years;300 years;600 years;1,000 years;600 years
"In ""Beyond the Wall of Sleep,"" what is the name of the ""backwoods"" individual whose bizarre dreams and mental attacks the narrator investigates?";Joe Slater;Nahum Gardner;Ammi Pierce;Wilbur Whateley;Joe Slater
"In ""The Beast in the Cave,"" how does the narrator initially realize the approaching creature is not his human guide while lost in the darkness?";It carries a torch;It speaks a different language;It has four feet instead of two;It is much taller;It has four feet instead of two
"In ""The Shadow Out of Time,"" what is the specific material used for the records of the Great Race, which are stored in metal cases?";Circular discs;Metal cylinders;Great sheets of cellulose fabric;Papyrus scrolls;Great sheets of cellulose fabric
"In ""The Whisperer in Darkness,"" what is the name of the ""sullen furtive fellow"" living on a run-down hillside place who is suspected of being a spy for the Outer Ones?";Henry Akeley;Walter Brown;George Lawton;Albert Wilmarth;Walter Brown
"In ""Through the Gates of the Silver Key,"" what is the name of the Hindoo Swami who describes Randolph Carter's travels to the gathered men in New Orleans?";Swami Chandraputra;Swami Vivekananda;Swami Dayananda;Swami Prabhupada;Swami Chandraputra
"In ""Medusa's Coil,"" what was the secret ""unhuman"" ancestry of Marceline that was eventually revealed by her husband's painting?";She was a deep one;She was a serpent person;She was a negress;She was an elder thing;She was a negress
"In ""The Case of Charles Dexter Ward,"" what astronomical concept is represented by the ""Dragon's Tail"" symbol in the context of the magical formulae?";The ascending node;The descending node;The vernal equinox;The winter solstice;The descending node
"In ""The Doom That Came to Sarnath,"" what is the name of the water-lizard god worshipped by the beings of Ib, whose idol was stolen by the men of Sarnath?";Bokrug;Dagon;Cthulhu;Tsathoggua;Bokrug
"In ""The Shadow Over Innsmouth,"" what is the name of the island chief who originally established the bargain between his people and the ""sea-things""?";Walakea;Zadok;Barnabas;Sargent;Walakea
"In ""The Last Test,"" who is the mysterious clinic-man Dr. Clarendon brought back from the Hoggar region in Africa?";Dr. Jones;Surama;James Dalton;Tsanpo;Surama
"In ""The Diary of Alonzo Typer,"" on what specific date does the narrator fear he is being ""saved"" for an awful Sabbat?";October 31;December 25;April 30;June 21;April 30
"In ""From Beyond,"" which organ does Crawford Tillinghast claim is the ""great sense organ of organs"" that can see invisible worlds when stimulated?";The pituitary gland;The hypothalamus;The pineal gland;The adrenal gland;The pineal gland
"In ""Facts Concerning the Late Arthur Jermyn and His Family,"" how does Sir Arthur Jermyn end his life after discovering the truth about his ancestry?";Shooting himself;Jumping from a window;Drinking poison;Setting himself on fire;Setting himself on fire
"In ""The Picture in the House,"" from whom did the old man obtain the rare book Regnum Congo?";Parson Clark;Ebenezer;Nahum Gardner;Ammi Pierce;Ebenezer
"In ""The Tomb,"" what name is inscribed on the tarnished plate of the empty coffin discovered within the Hyde family vault?";Jervas;Christopher;Edmund;Nathaniel;Jervas
"In ""The Shadow Out of Time,"" to which planet does the Great Race plan to migrate as the earth's span closes?";Mars;Yuggoth;Mercury;Venus;Mercury
"In ""The Case of Charles Dexter Ward,"" what is the name of the ""villainous-looking"" Portuguese servant at the Pawtuxet bungalow?";Manuel Arruda;Tony Gomes;Joseph Curwen;Ezra Weeden;Tony Gomes
"In ""Winged Death,"" what pseudonym does Dr. Slauenwite use to mail the deadly hybrid flies to his rival, Henry Moore?";Nevil Wayland-Hall;Frederick Nasmyth Mason;Thomas Slauenwite;Dr. Joost;Nevil Wayland-Hall
"In ""Through the Gates of the Silver Key,"" where is it rumored that the missing Randolph Carter now reigns as king on an opal throne?";R'lyeh;Celepha?s;Ilek-Vad;Yaddith;Ilek-Vad
"In ""The Horror at Red Hook,"" what is the name of the detective who investigates the sinister activities in the Brooklyn neighborhood?";Marinus Willett;Robert Malone;Thomas Olney;Nathaniel Peaslee;Robert Malone
"At the conclusion of ""The Evil Clergyman,"" what shocking change does the narrator discover has happened to his physical appearance?";He has turned into a skeleton;He has become invisible;He has taken on the form of the dead clergyman;He has turned into a reptilian monster;He has taken on the form of the dead clergyman
"In ""The Colour Out of Space,"" in which month did the strange meteorite fall from the sky onto the Gardner property?";May;June;August;October;June
"To whom is the narrator of ""Pickman's Model"" telling the story of his horrifying experiences with the painter Richard Upton Pickman?";Eliot;St. John;Harley Warren;Joel Manton;Eliot
"In ""The Cats of Ulthar,"" what was the name of the young orphan whose kitten was killed, prompting him to pray for vengeance?";Atal;Menes;Zath;Shang;Menes
"In the story ""He,"" the narrator moves to which city looking for ""poignant wonder,"" only to find ""horror and oppression""?";Boston;Providence;New York;Arkham;New York
"In ""The Hound,"" on what specific date did the narrator and his friend discover the ""series of footprints utterly impossible to describe""?";October 29;October 31;November 1;December 5;October 29
"In ""The Whisperer in Darkness,"" Henry Akeley tells Albert Wilmarth he is expressing the black stone on which train number?";Train No. 29;Train No. 1928;Train No. 5508;Train No. 412;Train No. 5508
"In ""Facts Concerning the Late Arthur Jermyn and His Family,"" in which region does Sir Arthur conduct his final expedition?";The Sahara Desert;The Congo;The Himalayas;The Australian Desert;The Congo
"In ""The Tomb,"" Jervas Dudley becomes obsessed with the ancient and dilapidated hillside vault belonging to which family?";The Delapores;The Whateleys;The Hydes;The de Russys;The Hydes
"In ""The Call of Cthulhu,"" what is the name of the young sculptor from Providence who visits Professor Angell with a damp clay bas-relief?";Gustaf Johansen;Henry Anthony Wilcox;John Raymond Legrasse;William Channing Webb;Henry Anthony Wilcox
"In ""At the Mountains of Madness,"" who is the graduate student that accompanies the narrator during the final flight over the ""mountains of madness""?";Gedney;Carroll;Moulton;Danforth;Danforth
"In ""The Shadow Over Innsmouth,"" what is the name of the reef three miles out at sea where the inhabitants are said to meet and trade with ""sea-things""?";Kingsport Head;Devil Reef;Black Reef;Siren’s Rock;Devil Reef
"In ""The Case of Charles Dexter Ward,"" Ward is confined to a private hospital on which island in the bay?";Rhode Island;Prudence Island;Conanicut Island;Star Island;Conanicut Island
"In ""The Rats in the Walls,"" what is the name of the narrator's black cat that first alerts him to the entities behind the masonry?";Midnight;Shadow;Blackie;Nigger-Man;Nigger-Man
"In ""The Whisperer in Darkness,"" to which city does Henry Akeley consider moving to live with his son, George?";San Francisco;San Diego;Los Angeles;Sacramento;San Diego
"In ""The Quest of Iranon,"" who is the companion that Iranon meets in granite Teloth and who later dies in the city of Oonai?";Athok;Romnod;Zuro;Sidrak;Romnod
"In ""The Doom That Came to Sarnath,"" whose ""Doom-scrawl"" is found upon the chrysolite altar in the temple?";Zo-Kalar;Tamash;Taran-Ish;Lobon;Taran-Ish
"In ""The Statement of Randolph Carter,"" what is the final sentence the narrator hears from the telephone receiver in the ancient cemetery?";"""I am coming for you.""";"""The slab is closed.""";"""He is not here.""";"""You fool, Warren is DEAD!""";"""You fool, Warren is DEAD!"""
"In ""Cool Air,"" on which New York street is the lodging house located where the narrator encounters the mysterious Dr. Mu?oz?";Fifth Avenue;Fourteenth Street;State Street;Benefit Street;Fourteenth Street
"In ""Dreams in the Witch-House,"" what is the name of the small, white-fanged furry creature with a human face that serves as Keziah Mason's familiar?";Brown Jenkin;Zoog;Night-gaunt;Rat-thing;Brown Jenkin
"In ""The Shadow Out of Time,"" on what specific date did Nathaniel Wingate Peaslee first experience his strange mental collapse?";May 1, 1925;May 14, 1908;July 17, 1928;September 27, 1913;May 14, 1908
"According to the ""History of the Necronomicon,"" who translated the Greek text of the Al Azif into Latin in the year 1228?";Theodorus Philetas;Olaus Wormius;Abdul Alhazred;Pope Gregory IX;Olaus Wormius
"In ""The Shadow Over Innsmouth,"" old Zadok Allen identifies the two primary deities of the Deep Ones as Father Dagon and whom?";Mother Lilith;Mother Hecate;Mother Hydra;Mother Shub-Niggurath;Mother Hydra
"""The Call of Cthulhu"" begins with a quote concerning the survival of great powers from remote periods by which author?";Algernon Blackwood;Cotton Mather;Arthur Machen;Edgar Allan Poe;Algernon Blackwood
"In ""The Dunwich Horror,"" approximately how tall was Wilbur Whateley when he arrived at Miskatonic University to consult the Necronomicon?";Six feet;Seven feet;Almost eight feet;Nine feet;Almost eight feet
"Throughout several stories, including ""The Dream-Quest of Unknown Kadath,"" who is described as the ""crawling chaos"" and the ""soul and messenger"" of the Other Gods?";Azathoth;Yog-Sothoth;Nyarlathotep;Cthulhu;Nyarlathotep
"In ""At the Mountains of Madness,"" what was the estimated height of the five tallest peaks in the mysterious mountain range discovered by the expedition?";15,000-20,000 feet;20,000-25,000 feet;30,000-34,000 feet;40,000-45,000 feet;30,000-34,000 feet
"In ""The Case of Charles Dexter Ward,"" in what year was the ill-fated protagonist, Charles Dexter Ward, born?";1883;1902;1918;1928;1902
"In the narrative of Pánfilo de Zamacona in ""The Mound,"" what is the name of the red-litten world located directly beneath the blue-litten world of K'n-yan?";N'kai;Yoth;Tsath;Zin;Yoth
